transaction_id,timestamp,sender_id,receiver_id,amount,device,city,transaction_type,status,is_fraud
T001119,2025-07-14 01:15:13,9022,4660,7913.72,Android,Kolkata,Receive,Success,True
T001127,2025-07-14 01:15:29,9862,9583,6538.64,MacOS,Mumbai,Receive,Failed,True
T001132,2025-07-14 01:15:39,9964,1244,6528.67,MacOS,Mumbai,Receive,Failed,True
T001134,2025-07-14 01:15:43,7918,9291,3086.6,MacOS,Chennai,Receive,Success,True
T001146,2025-07-14 01:16:07,8241,8081,8259.24,Android,Bangalore,Request,Failed,True
T001148,2025-07-14 01:16:11,1721,8524,1713.62,IOS,Delhi,Send,Success,True
T001156,2025-07-14 01:16:27,3807,8168,7802.65,MacOS,Bangalore,Receive,Success,True
T001170,2025-07-14 01:16:55,8903,8155,6121.7,Android,Mumbai,Receive,Failed,True
T001177,2025-07-14 01:17:09,8477,5330,9585.98,IOS,Bangalore,Receive,Success,True
T001192,2025-07-14 01:17:39,1682,1283,8234.21,MacOS,Mumbai,Request,Success,True
T001197,2025-07-14 01:17:49,2816,8073,4703.84,Android,Mumbai,Request,Failed,True
T001200,2025-07-14 01:17:55,3986,1755,6425.94,MacOS,Bangalore,Send,Success,True
T001213,2025-07-14 01:18:21,8193,3484,9641.82,Android,Bangalore,Receive,Success,True
T001220,2025-07-14 01:18:35,2713,5704,2195.88,Android,Mumbai,Receive,Failed,True
T001226,2025-07-14 01:18:47,1082,2896,7979.25,IOS,Bangalore,Receive,Failed,True
T001232,2025-07-14 01:18:59,2066,6960,1184.69,Android,Bangalore,Receive,Failed,True
T001237,2025-07-14 01:19:09,9301,4270,3824.74,Android,Bangalore,Receive,Pending,True
T001243,2025-07-14 01:19:21,2091,9407,7871.82,IOS,Chennai,Receive,Failed,True
T001250,2025-07-14 01:19:35,5703,2606,3210.51,MacOS,Bangalore,Receive,Failed,True
T001256,2025-07-14 01:19:47,1613,8637,5733.81,IOS,Kolkata,Receive,Success,True
T001259,2025-07-14 01:19:53,7501,4746,7312.96,Android,Bangalore,Request,Failed,True
T001262,2025-07-14 01:19:59,9410,1317,4377.22,Android,Chennai,Receive,Pending,True
T001267,2025-07-14 01:20:09,7957,9122,6204.26,Android,Kolkata,Receive,Failed,True
T001269,2025-07-14 01:20:13,1058,1070,58.99,Android,Mumbai,Request,Failed,True
T001270,2025-07-14 01:20:15,1016,9768,9346.52,MacOS,Chennai,Receive,Failed,True
T001274,2025-07-14 01:20:23,1362,6817,2689.79,IOS,Kolkata,Send,Success,True
T001278,2025-07-14 01:20:31,2352,2994,6853.96,MacOS,Mumbai,Receive,Success,True
T001286,2025-07-14 01:20:47,5781,1254,3011.99,Android,Mumbai,Send,Failed,True
T001289,2025-07-14 01:20:53,9007,2756,2486.37,Android,Mumbai,Receive,Failed,True
T001291,2025-07-14 01:20:57,2528,7812,6691.57,MacOS,Bangalore,Receive,Success,True
T001293,2025-07-14 01:21:01,2712,9494,7624.45,Android,Kolkata,Request,Pending,True
T001294,2025-07-14 01:21:03,9152,9312,9427.56,IOS,Bangalore,Receive,Success,True
T001297,2025-07-14 01:21:09,6965,3866,2760.62,Android,Kolkata,Receive,Failed,True
T001301,2025-07-14 01:21:17,1566,1163,5041.14,IOS,Mumbai,Receive,Success,True
T001305,2025-07-14 01:21:25,8184,8403,1557.99,MacOS,Mumbai,Receive,Success,True
T001310,2025-07-14 01:21:35,9879,7920,4401.26,Android,Delhi,Send,Pending,True
T001313,2025-07-14 01:21:41,9701,2118,3765.02,Android,Kolkata,Send,Failed,True
T001315,2025-07-14 01:21:45,9642,2583,5722.87,MacOS,Chennai,Receive,Failed,True
T001321,2025-07-14 01:21:57,1878,6143,1798.24,MacOS,Mumbai,Receive,Failed,True
T001323,2025-07-14 01:22:01,1627,9723,7468.58,MacOS,Mumbai,Receive,Pending,True
T001332,2025-07-14 01:22:19,9265,1730,9281.06,MacOS,Bangalore,Receive,Pending,True
T001347,2025-07-14 01:22:49,2502,9835,7641.38,Android,Chennai,Send,Success,True
T001358,2025-07-14 01:23:11,5469,3158,3506.23,Android,Mumbai,Request,Failed,True
T001367,2025-07-14 01:23:29,5098,4252,2110.83,Android,Bangalore,Send,Failed,True
T001371,2025-07-14 01:23:37,3235,6509,6489.38,Android,Mumbai,Send,Success,True
T001374,2025-07-14 01:23:43,8623,1720,1439.95,MacOS,Mumbai,Request,Failed,True
T001377,2025-07-14 01:23:49,8979,7954,2855.17,MacOS,Bangalore,Receive,Failed,True
